"sample","fastq_1","fastq_2"
"SRX040608","s3://bl5632/lenski/data/fastq/SRX040608_SRR097977.fastq.gz",""
"SRX040663","s3://bl5632/lenski/data/fastq/SRX040663_SRR098026.fastq.gz",""
"SRX040664","s3://bl5632/lenski/data/fastq/SRX040664_SRR098027.fastq.gz",""
"SRX040666","s3://bl5632/lenski/data/fastq/SRX040666_SRR098029.fastq.gz",""
"SRX040667","s3://bl5632/lenski/data/fastq/SRX040667_SRR098030.fastq.gz",""
"SRX040668","s3://bl5632/lenski/data/fastq/SRX040668_SRR098031.fastq.gz",""
"SRX040669","s3://bl5632/lenski/data/fastq/SRX040669_SRR098032.fastq.gz",""
"SRX040671","s3://bl5632/lenski/data/fastq/SRX040671_SRR098034.fastq.gz",""
"SRX040672","s3://bl5632/lenski/data/fastq/SRX040672_SRR098035.fastq.gz",""
"SRX040673","s3://bl5632/lenski/data/fastq/SRX040673_SRR098036.fastq.gz",""
"SRX040674","s3://bl5632/lenski/data/fastq/SRX040674_SRR098037.fastq.gz",""
"SRX040675","s3://bl5632/lenski/data/fastq/SRX040675_SRR098038.fastq.gz",""
"SRX040676","s3://bl5632/lenski/data/fastq/SRX040676_SRR098039.fastq.gz",""
"SRX040677","s3://bl5632/lenski/data/fastq/SRX040677_SRR098040.fastq.gz",""
"SRX040678","s3://bl5632/lenski/data/fastq/SRX040678_SRR098041.fastq.gz",""
"SRX040679","s3://bl5632/lenski/data/fastq/SRX040679_SRR098042.fastq.gz",""
"SRX040681","s3://bl5632/lenski/data/fastq/SRX040681_SRR098044.fastq.gz",""
"SRX040720","s3://bl5632/lenski/data/fastq/SRX040720_SRR098279.fastq.gz",""
"SRX040721","s3://bl5632/lenski/data/fastq/SRX040721_SRR098280.fastq.gz",""
"SRX040722","s3://bl5632/lenski/data/fastq/SRX040722_SRR098281.fastq.gz",""
"SRX040723","s3://bl5632/lenski/data/fastq/SRX040723_SRR098282.fastq.gz",""
"SRX040724","s3://bl5632/lenski/data/fastq/SRX040724_SRR098283.fastq.gz",""
"SRX040725","s3://bl5632/lenski/data/fastq/SRX040725_SRR098284.fastq.gz",""
"SRX040726","s3://bl5632/lenski/data/fastq/SRX040726_SRR098285.fastq.gz",""
"SRX040727","s3://bl5632/lenski/data/fastq/SRX040727_SRR098286.fastq.gz",""
"SRX040728","s3://bl5632/lenski/data/fastq/SRX040728_SRR098287.fastq.gz",""
"SRX040729","s3://bl5632/lenski/data/fastq/SRX040729_SRR098288.fastq.gz",""
"SRX040730","s3://bl5632/lenski/data/fastq/SRX040730_SRR098289.fastq.gz",""
"SRX1317379","s3://bl5632/lenski/data/fastq/SRX1317379_SRR2584852_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317379_SRR2584852_2.fastq.gz"
"SRX1317380","s3://bl5632/lenski/data/fastq/SRX1317380_SRR2584853_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317380_SRR2584853_2.fastq.gz"
"SRX1317380","s3://bl5632/lenski/data/fastq/SRX1317380_SRR2589000_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317380_SRR2589000_2.fastq.gz"
"SRX1317382","s3://bl5632/lenski/data/fastq/SRX1317382_SRR2584855_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317382_SRR2584855_2.fastq.gz"
"SRX1317382","s3://bl5632/lenski/data/fastq/SRX1317382_SRR2589001_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317382_SRR2589001_2.fastq.gz"
"SRX1317383","s3://bl5632/lenski/data/fastq/SRX1317383_SRR2584856_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317383_SRR2584856_2.fastq.gz"
"SRX1317383","s3://bl5632/lenski/data/fastq/SRX1317383_SRR2589041_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317383_SRR2589041_2.fastq.gz"
"SRX1317384","s3://bl5632/lenski/data/fastq/SRX1317384_SRR2584857_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317384_SRR2584857_2.fastq.gz"
"SRX1317384","s3://bl5632/lenski/data/fastq/SRX1317384_SRR2589042_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317384_SRR2589042_2.fastq.gz"
"SRX1317385","s3://bl5632/lenski/data/fastq/SRX1317385_SRR2584858_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317385_SRR2584858_2.fastq.gz"
"SRX1317386","s3://bl5632/lenski/data/fastq/SRX1317386_SRR2584859_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317386_SRR2584859_2.fastq.gz"
"SRX1317386","s3://bl5632/lenski/data/fastq/SRX1317386_SRR2589043_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317386_SRR2589043_2.fastq.gz"
"SRX1317387","s3://bl5632/lenski/data/fastq/SRX1317387_SRR2584860_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317387_SRR2584860_2.fastq.gz"
"SRX1317387","s3://bl5632/lenski/data/fastq/SRX1317387_SRR2591041_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317387_SRR2591041_2.fastq.gz"
"SRX1317388","s3://bl5632/lenski/data/fastq/SRX1317388_SRR2584861_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317388_SRR2584861_2.fastq.gz"
"SRX1317388","s3://bl5632/lenski/data/fastq/SRX1317388_SRR2589044_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317388_SRR2589044_2.fastq.gz"
"SRX1317389","s3://bl5632/lenski/data/fastq/SRX1317389_SRR2584862_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317389_SRR2584862_2.fastq.gz"
"SRX1317389","s3://bl5632/lenski/data/fastq/SRX1317389_SRR2589045_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317389_SRR2589045_2.fastq.gz"
"SRX1317390","s3://bl5632/lenski/data/fastq/SRX1317390_SRR2584863_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317390_SRR2584863_2.fastq.gz"
"SRX1317390","s3://bl5632/lenski/data/fastq/SRX1317390_SRR2589046_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317390_SRR2589046_2.fastq.gz"
"SRX1317391","s3://bl5632/lenski/data/fastq/SRX1317391_SRR2584864.fastq.gz",""
"SRX1317393","s3://bl5632/lenski/data/fastq/SRX1317393_SRR2584866_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX1317393_SRR2584866_2.fastq.gz"
"SRX3288920","s3://bl5632/lenski/data/fastq/SRX3288920_SRR6178310_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288920_SRR6178310_2.fastq.gz"
"SRX3288921","s3://bl5632/lenski/data/fastq/SRX3288921_SRR6178309_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288921_SRR6178309_2.fastq.gz"
"SRX3288922","s3://bl5632/lenski/data/fastq/SRX3288922_SRR6178308_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288922_SRR6178308_2.fastq.gz"
"SRX3288923","s3://bl5632/lenski/data/fastq/SRX3288923_SRR6178307_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288923_SRR6178307_2.fastq.gz"
"SRX3288924","s3://bl5632/lenski/data/fastq/SRX3288924_SRR6178306_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288924_SRR6178306_2.fastq.gz"
"SRX3288925","s3://bl5632/lenski/data/fastq/SRX3288925_SRR6178305_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288925_SRR6178305_2.fastq.gz"
"SRX3288926","s3://bl5632/lenski/data/fastq/SRX3288926_SRR6178304_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288926_SRR6178304_2.fastq.gz"
"SRX3288927","s3://bl5632/lenski/data/fastq/SRX3288927_SRR6178303_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288927_SRR6178303_2.fastq.gz"
"SRX3288928","s3://bl5632/lenski/data/fastq/SRX3288928_SRR6178302_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288928_SRR6178302_2.fastq.gz"
"SRX3288929","s3://bl5632/lenski/data/fastq/SRX3288929_SRR6178301_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288929_SRR6178301_2.fastq.gz"
"SRX3288930","s3://bl5632/lenski/data/fastq/SRX3288930_SRR6178300_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288930_SRR6178300_2.fastq.gz"
"SRX3288931","s3://bl5632/lenski/data/fastq/SRX3288931_SRR6178299_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288931_SRR6178299_2.fastq.gz"
"SRX3288932","s3://bl5632/lenski/data/fastq/SRX3288932_SRR6178298_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288932_SRR6178298_2.fastq.gz"
"SRX3288933","s3://bl5632/lenski/data/fastq/SRX3288933_SRR6178297_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288933_SRR6178297_2.fastq.gz"
"SRX3288934","s3://bl5632/lenski/data/fastq/SRX3288934_SRR6178296_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288934_SRR6178296_2.fastq.gz"
"SRX3288935","s3://bl5632/lenski/data/fastq/SRX3288935_SRR6178295_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288935_SRR6178295_2.fastq.gz"
"SRX3288936","s3://bl5632/lenski/data/fastq/SRX3288936_SRR6178294_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288936_SRR6178294_2.fastq.gz"
"SRX3288937","s3://bl5632/lenski/data/fastq/SRX3288937_SRR6178293_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288937_SRR6178293_2.fastq.gz"
"SRX3288938","s3://bl5632/lenski/data/fastq/SRX3288938_SRR6178292_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288938_SRR6178292_2.fastq.gz"
"SRX3288939","s3://bl5632/lenski/data/fastq/SRX3288939_SRR6178291_1.fastq.gz","s3://bl5632/lenski/data/fastq/SRX3288939_SRR6178291_2.fastq.gz"
